uid,grant_refe,project_na,project_ty,osgr,easting,northing,site_name,restoratio,start_date,end_date,financial_year_end,snh_area,unitary_lo,applicant_type
501000-NS6680051400,501000,Feasibility Studies - Multiple sites in East Kilbride and Lesmahagow,Feasibility,NS6680051400,266800,651400,East Kilbride and Lesmahagow,Central Scotland Green Network Trust,01/12/2017,15/03/2018,2017-18,Strathclyde and Ayrshire,Fife & Central Belt,Public
501000-NS6470051000,501000,Feasibility Studies - Multiple sites in East Kilbride and Lesmahagow,Feasibility,NS6470051000,264700,651000,East Kilbride and Lesmahagow,Central Scotland Green Network Trust,01/12/2017,15/03/2018,2017-18,Strathclyde and Ayrshire,Fife & Central Belt,Public
501000-NS6830051400,501000,Feasibility Studies - Multiple sites in East Kilbride and Lesmahagow,Feasibility,NS6830051400,268300,651400,East Kilbride and Lesmahagow,Central Scotland Green Network Trust,01/12/2017,15/03/2018,2017-18,Strathclyde and Ayrshire,Fife & Central Belt,Public
501000-NS6800046200,501000,Feasibility Studies - Multiple sites in East Kilbride and Lesmahagow,Feasibility,NS6800046200,268000,646200,East Kilbride and Lesmahagow,Central Scotland Green Network Trust,01/12/2017,15/03/2018,2017-18,Strathclyde and Ayrshire,Fife & Central Belt,Public
501000-NS6490048500,501000,Feasibility Studies - Multiple sites in East Kilbride and Lesmahagow,Feasibility,NS6490048500,264900,648500,East Kilbride and Lesmahagow,Central Scotland Green Network Trust,01/12/2017,15/03/2018,2017-18,Strathclyde and Ayrshire,Fife & Central Belt,Public
501000-NS6750047100,501000,Feasibility Studies - Multiple sites in East Kilbride and Lesmahagow,Feasibility,NS6750047100,267500,647100,East Kilbride and Lesmahagow,Central Scotland Green Network Trust,01/12/2017,15/03/2018,2017-18,Strathclyde and Ayrshire,Fife & Central Belt,Public
501000-NS6930049800,501000,Feasibility Studies - Multiple sites in East Kilbride and Lesmahagow,Feasibility,NS6930049800,269300,649800,East Kilbride and Lesmahagow,Central Scotland Green Network Trust,01/12/2017,15/03/2018,2017-18,Strathclyde and Ayrshire,Fife & Central Belt,Public
501065-NS6638552678,501065,Blantyre Muir SSSI restoration,Restoration,NS6638552678,266385,652678,Blantyre Muir,Blantyre Muir SSSI,01/10/2018,25/03/2019,2018-19,Strathclyde and Ayrshire,Fife & Central Belt,Private
501067-NS6345951190,501067,Peatland for People/Bog Squad,Other,NS6345951190,263459,651190,Langlands Moss,Butterfly Conservation - Bog Squad - Scotland,03/05/2018,16/04/2019,2018-19,Strathclyde and Ayrshire,Fife & Central Belt,NGO
501140-NS6345351191,501140,Langlands Moss Restoration Work,Restoration,NS6345351191,263453,651191,Langlands Moss,,20/01/2020,27/03/2020,2018-19,Strathclyde and Ayrshire,Fife & Central Belt,Public
501245-NS680512,501245,1 of 5 - Restoration at Waukenwae Moss SSSI,Restoration,NS680512,268000,651200,Waukenwae Moss – Hamilton,Waukenwae Moss,28/10/2019,11/11/2019,2019-20,Strathclyde and Ayrshire,Fife & Central Belt,Private
